Run,BJ,#Nodes,#cores/node,#jobs,Queuing Time,BJ Runtime,Total Runtime,Coordination URL,LRMS URL
0,bigjob:bj-b0a824cc-3f89-11e1-8c67-00003e980000:localhost,36,1,8,20.4590740204,803.146731138,803.202919006,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-8f821ee0-3f8b-11e1-8c67-00003e980000:localhost,36,1,8,20.7905340195,803.482215166,803.538386106,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-6e8f3504-3f8d-11e1-8c67-00003e980000:localhost,36,1,8,32.1549630165,821.350562811,821.40704298,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-5842f306-3f8f-11e1-8c67-00003e980000:localhost,36,1,8,21.3701820374,838.749219179,838.805440187,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-4c556770-3f91-11e1-8c67-00003e980000:localhost,36,1,8,59.0620369911,850.425644159,850.481858015,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-af43b8d4-3f99-11e1-be4b-00003e980000:localhost,72,1,16,34.0033509731,855.722285032,855.778514147,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-ad740aac-3f9b-11e1-be4b-00003e980000:localhost,72,1,16,20.7587199211,879.324859858,879.381051779,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-b9b5cd30-3f9d-11e1-be4b-00003e980000:localhost,72,1,16,31.3389091492,1059.00548697,1059.06174397,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-3110b78a-3fa0-11e1-be4b-00003e980000:localhost,72,1,16,23.5706830025,890.816518068,890.872728109,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-44342b7e-3fa2-11e1-be4b-00003e980000:localhost,72,1,16,22.0334570408,869.759693146,869.815869093,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-2064dd7a-3ebb-11e1-99aa-00003eb40000:localhost,72,12,32,24.7933077812,1390.66781187,1390.72400188,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-5d6f3686-3ebe-11e1-99aa-00003eb40000:localhost,72,12,32,29.0432879925,1360.51454806,1360.57079411,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-8882720e-3ec1-11e1-99aa-00003eb40000:localhost,72,12,32,39.2193140984,1525.08717299,1525.14338589,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-15ae0014-3ec5-11e1-99aa-00003eb40000:localhost,72,12,32,22.1002709866,1283.90891695,1283.965137,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-13165c18-3ec8-11e1-99aa-00003eb40000:localhost,72,12,32,40.6789188385,1354.51852202,1354.57473087,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-5e5ea41e-3ed2-11e1-9ee1-00003eb40000:localhost,144,12,32,30.2775781155,1120.81389213,1120.87008619,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-fa908ea4-3ed4-11e1-9ee1-00003eb40000:localhost,144,12,32,51.1226170063,1135.26708913,1135.32328701,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-9f5ff03a-3ed7-11e1-9ee1-00003eb40000:localhost,144,12,32,24.0314259529,1123.3999331,1123.45637608,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-3d1cf88e-3eda-11e1-9ee1-00003eb40000:localhost,144,12,32,35.5804638863,1124.14432693,1124.20068288,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-db4f9bb8-3edc-11e1-9ee1-00003eb40000:localhost,144,12,32,3389.26370811,4826.70861697,4826.76486111,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-ee94bb0e-3eeb-11e1-8a95-00003eb40000:localhost,192,12,32,26.7474241257,1109.73594403,1109.79218602,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-45a92cce-3ef4-11e1-a94a-00003ea40000:localhost,192,12,32,46.3094000816,1058.86293411,1058.91929412,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-bcfb37fc-3ef6-11e1-a94a-00003ea40000:localhost,192,12,32,128.361288786,1416.20784092,1416.26420498,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-094daf92-3efa-11e1-a94a-00003ea40000:localhost,192,12,32,35.3058009148,1214.76127887,1214.81751394,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-659daa7e-3f02-11e1-ad60-00003ea40000:localhost,384,12,32,38.6710960865,1077.19217706,1077.24841499,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-e7cf9b72-3f04-11e1-ad60-00003ea40000:localhost,384,12,32,48.9989681244,1046.400527,1046.45673394,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-57a71478-3f07-11e1-ad60-00003ea40000:localhost,384,12,32,37.2312979698,1090.97632194,1091.03253794,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-e2153b7e-3f09-11e1-ad60-00003ea40000:localhost,384,12,32,54.0746369362,1079.58387399,1079.64006996,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
0,bigjob:bj-afa95ce4-3fa7-11e1-b087-00003e980000:localhost,264,1,64,27.1968259811,1494.97384596,1495.03010392,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
1,bigjob:bj-2adfba72-3fab-11e1-b087-00003e980000:localhost,264,1,64,28.7825450897,1420.70928788,1420.7654829,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
2,bigjob:bj-79d2628a-3fae-11e1-b087-00003e980000:localhost,264,1,64,95.6364049911,1457.19998097,1457.25614309,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
3,bigjob:bj-de84f55a-3fb1-11e1-b087-00003e980000:localhost,264,1,64,28.7423758507,1450.99647593,1451.05274391,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/
4,bigjob:bj-3f84fe92-3fb5-11e1-b087-00003e980000:localhost,264,1,64,46.0501348972,1518.27925801,1518.33567786,redis://cyder.cct.lsu.edu:2525,xt5torque://localhost/



0,bigjob:bj-69dd8cc6-3fbb-11e1-a80d-e61f1322a75c:india.futuregrid.org,8,8,4,4.71898603439,584.561914921,584.607523918,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-c6fa0faa-3fbc-11e1-a80d-e61f1322a75c:india.futuregrid.org,8,8,4,4.60516190529,595.802121878,595.847707987,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-2acc13a6-3fbe-11e1-a80d-e61f1322a75c:india.futuregrid.org,8,8,4,4.70738601685,595.969373941,596.014989138,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-8ea717e4-3fbf-11e1-a80d-e61f1322a75c:india.futuregrid.org,8,8,4,4.74088001251,584.584946871,584.630604029,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-ebda5f4c-3fc0-11e1-a80d-e61f1322a75c:india.futuregrid.org,8,8,4,4.70975899696,579.992569923,580.038177013,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-66154208-3fb3-11e1-8eb6-e61f1322a75c:india.futuregrid.org,8,8,8,5.61606097221,612.384882927,612.430486917,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-d3bb1a84-3fb4-11e1-8eb6-e61f1322a75c:india.futuregrid.org,8,8,8,3.11100888252,612.376913071,612.422508955,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-417b5448-3fb6-11e1-8eb6-e61f1322a75c:india.futuregrid.org,8,8,8,5.66727900505,607.487083912,607.532660007,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-ac51bb9e-3fb7-11e1-8eb6-e61f1322a75c:india.futuregrid.org,8,8,8,3.22351312637,605.135953188,605.181570053,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-15b2df4a-3fb9-11e1-8eb6-e61f1322a75c:india.futuregrid.org,8,8,8,3.12480401993,612.475030184,612.520663023,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-f561a036-3faa-11e1-88d3-e61f1322a75c:india.futuregrid.org,16,8,16,7.48356103897,645.278665066,645.324265957,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-76b4eba6-3fac-11e1-88d3-e61f1322a75c:india.futuregrid.org,16,8,16,7.44093894958,633.914844036,633.960438013,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-f13df3a8-3fad-11e1-88d3-e61f1322a75c:india.futuregrid.org,16,8,16,4.59530091286,631.232502937,631.278112888,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-6a2d5e88-3faf-11e1-88d3-e61f1322a75c:india.futuregrid.org,16,8,16,4.53417897224,625.574747086,625.620372057,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-dfbe3770-3fb0-11e1-88d3-e61f1322a75c:india.futuregrid.org,16,8,16,4.46943616867,631.025360107,631.070969105,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-390f1c6e-3eed-11e1-ae56-e61f1322a75c:india.futuregrid.org,32,8,32,7.66567111015,643.947709084,643.993335962,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-d36ff86c-3eef-11e1-b7ea-e61f1322a75c:india.futuregrid.org,32,8,32,7.5328938961,750.299576044,750.345185995,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-936e8196-3ef1-11e1-b7ea-e61f1322a75c:india.futuregrid.org,32,8,32,11.1504511833,714.713975191,714.759571075,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-796c82aa-3ef3-11e1-bce8-e61f1322a75c:india.futuregrid.org,64,8,64,13.3955490589,841.694717169,841.740339994,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-6ff330be-3ef5-11e1-bce8-e61f1322a75c:india.futuregrid.org,64,8,64,13.2859649658,831.498536825,831.544155836,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-6067e9d0-3ef7-11e1-bce8-e61f1322a75c:india.futuregrid.org,64,8,64,13.4101700783,1001.62136889,1001.66709495,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-b633d1a6-3ef9-11e1-bce8-e61f1322a75c:india.futuregrid.org,64,8,64,13.3995800018,936.677386999,936.722977877,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-e559f558-3efb-11e1-bce8-e61f1322a75c:india.futuregrid.org,64,8,64,13.4292809963,951.705374956,951.750985861,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-284b537c-3eff-11e1-9b3e-e61f1322a75c:india.futuregrid.org,128,8,128,25.202504158,1265.25750709,1265.30311918,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-1b4ccbda-3f02-11e1-9b3e-e61f1322a75c:india.futuregrid.org,128,8,128,25.0404040813,1637.05531287,1637.10092902,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-ebf81408-3f05-11e1-9b3e-e61f1322a75c:india.futuregrid.org,128,8,128,25.1193919182,1834.76236892,1834.80806494,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-3269cf5e-3f0a-11e1-9b3e-e61f1322a75c:india.futuregrid.org,128,8,128,25.1757929325,1962.6733501,1962.71897101,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-c51fc8fe-3f0e-11e1-9b3e-e61f1322a75c:india.futuregrid.org,128,8,128,404.917053938,1779.54419994,1779.58983493,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
0,bigjob:bj-67886aae-3f66-11e1-972e-e61f1322a75c:india.futuregrid.org,256,8,256,48.6199240685,2696.67219186,2696.71779084,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
1,bigjob:bj-afdfe376-3f6c-11e1-972e-e61f1322a75c:india.futuregrid.org,256,8,256,48.4620461464,2654.95286608,2654.99848413,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
2,bigjob:bj-df46ad2e-3f72-11e1-972e-e61f1322a75c:india.futuregrid.org,256,8,256,48.6114859581,2860.66519904,2860.71085095,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
3,bigjob:bj-894c89fa-3f79-11e1-972e-e61f1322a75c:india.futuregrid.org,256,8,256,378.119590044,3395.98695302,3396.03256011,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org
4,bigjob:bj-7267bc2a-3f81-11e1-972e-e61f1322a75c:india.futuregrid.org,256,8,256,48.5784368515,3025.06773496,3025.11332202,redis://cyder.cct.lsu.edu:2525,pbs-ssh://luckow@india.futuregrid.org


















